code,term,description,ethnicity_5,ethnicity_16
134B.,00,RACE: Caucasian,1,1
9S1..,00,White,1,1
9S10.,00,White British,1,1
9S14.,00,Other white British ethnic group,1,1
9i0..,00,British or mixed British - ethnic category 2001 census,1,1
9i00.,00,White British - ethnic category 2001 census,1,1
9t00.,00,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,1,1
9SA9.,00,Irish (NMO),1,2
9S11.,00,White Irish,1,2
9i1..,00,Irish - ethnic category 2001 census,1,2
9i2Q.,00,Mixed Irish and other White - ethnic category 2001 census,1,2
9i10.,00,White Irish - ethnic category 2001 census,1,2
9t01.,00,White: Irish - England and Wales ethnic category 2011 census,1,2
9t22.,00,White: Irish - Scotland ethnic category 2011 census,1,2
9SAA.,00,Greek/Greek Cypriot (NMO),1,3
9SAA.,11,Greek (NMO),1,3
9SAA.,12,Greek Cypriot (NMO),1,3
9SAB.,00,Turkish/Turkish Cypriot (NMO),1,3
9SAB.,11,Turkish (NMO),1,3
9SAB.,12,Turkish Cypriot (NMO),1,3
9SAC.,00,Other European (NMO),1,3
9T11.,00,New Zealand European,1,3
9T11.,11,Pakeha,1,3
9T2..,00,Traveller - gypsy,1,3
9S12.,00,Other white ethnic group,1,3
9SI..,00,Irish traveller,1,3
9S13.,00,White Scottish,1,3
9i2..,00,Other White background - ethnic category 2001 census,1,3
9i20.,00,English - ethnic category 2001 census,1,3
9i21.,00,Scottish - ethnic category 2001 census,1,3
9i22.,00,Welsh - ethnic category 2001 census,1,3
9i24.,00,Northern Irish - ethnic category 2001 census,1,3
9i23.,00,Cornish - ethnic category 2001 census,1,3
9i26.,00,Cypriot (part not stated) - ethnic category 2001 census,1,3
9i25.,00,Ulster Scots - ethnic category 2001 census,1,3
9i27.,00,Greek - ethnic category 2001 census,1,3
9i28.,00,Greek Cypriot - ethnic category 2001 census,1,3
9i29.,00,Turkish - ethnic category 2001 census,1,3
9i2A.,00,Turkish Cypriot - ethnic category 2001 census,1,3
9i2B.,00,Italian - ethnic category 2001 census,1,3
9i2C.,00,Irish Traveller - ethnic category 2001 census,1,3
9i2D.,00,Traveller - ethnic category 2001 census,1,3
9i2E.,00,Gypsy/Romany - ethnic category 2001 census,1,3
9i2F.,00,Polish - ethnic category 2001 census,1,3
9i2G.,00,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census,1,3
9i2H.,00,Commonwealth of (Russian) Independent States - ethnic category 2001 census,1,3
9i2J.,00,Kosovan - ethnic category 2001 census,1,3
9i2K.,00,Albanian - ethnic category 2001 census,1,3
9i2L.,00,Bosnian - ethnic category 2001 census,1,3
9i2M.,00,Croatian - ethnic category 2001 census,1,3
9i2N.,00,Serbian - ethnic category 2001 census,1,3
9i2P.,00,Other republics which made up the former Yugoslavia - ethnic category 2001 census,1,3
9i2S.,00,Other mixed White - ethnic category 2001 census,1,3
9i2R.,00,Other White European or European unspecified or Mixed European - ethnic category 2001 census,1,3
9i2T.,00,Other White or White unspecified - ethnic category 2001 census,1,3
9T4..,00,Romanian,1,3
9T5..,00,Bulgarian,1,3
9T6..,00,Czech,1,3
9T7..,00,Slovak,1,3
9T8..,00,Portuguese,1,3
9t02.,00,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,1,3
9t03.,00,White: any other White background - England and Wales ethnic category 2011 census,1,3
9t10.,00,White - Northern Ireland ethnic category 2011 census,1,3
9t11.,00,Irish Traveller - Northern Ireland ethnic category 2011 census,1,3
9t20.,00,White: Scottish - Scotland ethnic category 2011 census,1,3
9t21.,00,White: other British - Scotland ethnic category 2011 census,1,3
9t23.,00,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,1,3
9t24.,00,White: Polish - Scotland ethnic category 2011 census,1,3
9t25.,00,White: any other White ethnic group - Scotland ethnic category 2011 census,1,3
9TC4.,00,Slovak Roma,1,3
9TC1.,00,Czech Roma,1,3
9TC5.,00,Hungarian Roma,1,3
9TC2.,00,Polish Roma,1,3
9TC3.,00,Romanian Roma,1,3
9TC..,00,Roma ethnic group,1,3
9TC0.,00,Bulgarian Roma,1,3
